_id,pin,number,total_amount
6860503,0001B00010000000,11,13585.47
6860504,0001C00058000000,2,7827.64
6860505,0001C01661000000,7,14673.67
6860506,0001C016610W2100,1,805.33
6860507,0001C01661W13700,3,3654.3
6860508,0001C01661W21800,1,121.13
6860509,0001C01662006100,1,364.21
6860510,0001C01662006800,1,1207.99
6860511,0001C01662015300,1,1112.02
6860512,0001C01662015400,1,881.2
6860513,0001C01662019500,4,2175.8
6860514,0001C01662021600,3,5042.88
6860515,0001C01662022200,2,737.88
6860516,0001C01662022300,1,350.49
6860517,0001C01662022400,1,282.38
6860518,0001C01662023600,1,347.98
6860519,0001C01662061400,1,116.57
6860520,0001C016620A2300,1,35
6860521,0001C01662101100,2,1946.86
6860522,0001C01662101400,2,1296.96
6860523,0001C01662201100,1,409.62
6860524,0001C01662D01900,1,18.92
6860525,0001C01662L02500,1,793.69
6860526,0001C01662O02300,1,293.26
6860527,0001D00057000000,1,1624
6860528,0001D00066000000,3,22377.2
6860529,0001D00148000000,9,12218
6860530,0001D00149000A00,6,914.28
6860531,0001D00150000000,2,125.89
6860532,0001D00183000000,1,947.52
6860533,0001D00259C70300,2,4817.98
6860534,0001D00259C70900,1,4130.1
6860535,0001D00259C71400,1,4593.74
6860536,0001E00120000002,2,5.62
6860537,0001F00007000000,11,7701.16
6860538,0001G00080000001,1,662.72
6860539,0001G00224190200,1,3304.85
6860540,0001H00030000000,15,8887.78
6860541,0001H00086000000,1,3562.4
6860542,0001H00106000000,1,395.43
6860543,0001H00207000000,1,892.51
6860544,0001H00217000000,2,92.44
6860545,0001H00303000000,2,1578.88
6860546,0001H00327020200,2,2521.09
6860547,0001H00327100200,2,1437.01
6860548,0001H00327170100,1,93.66
6860549,0001H00350000A00,1,14616
6860550,0001H00377000000,1,18570.8
6860551,0001H00381000000,1,3050.85
6860552,0001H00387000000,1,12772.16
6860553,0001J00057000000,1,382.06
6860554,0001K00050000000,1,80.64
6860555,0001K00050000002,3,1615.27
6860556,0001M00007000000,1,1587.75
6860557,0001M00052000000,3,25977.87
6860558,0001M00176000000,1,11836.83
6860559,0001N00008000000,3,698.31
6860560,0001N00043000000,5,4030.15
6860561,0001N00049000000,4,2581.04
6860562,0001N00093000000,1,784.63
6860563,0001N00095000000,10,8222.09
6860564,0001N00112000300,3,873.93
6860565,0001N00115000000,2,112.53
6860566,0001N00149000100,2,64.32
6860567,0001N00164000000,2,1835.69
6860568,0001N00171000000,1,492.87
6860569,0001N00180000000,7,2349.59
6860570,0001N00182000000,4,73.8
6860571,0001N00182000A00,1,16.08
6860572,0001N00219000000,7,6394.56
6860573,0001N00281002B00,2,6888
6860574,0001N00299000000,5,6184.06
6860575,0002A00040000000,1,1231.22
6860576,0002A00046000000,1,6016.56
6860577,0002A00047000000,15,20268.71
6860578,0002A00127080400,1,2116.68
6860579,0002A00127120700,1,1777.53
6860580,0002B00181000000,1,28.16
6860581,0002B00351000000,2,2197.8
6860582,0002B00351000001,5,3343.15
6860583,0002B00402000000,2,20509.28
6860584,0002C00300000000,1,30.92
6860585,0002D00005000002,2,1729.46
6860586,0002D00042000000,3,3636.74
6860587,0002D00250000000,7,318.09
6860588,0002D00256000000,6,1027.04
6860589,0002D00300000000,1,128.52
6860590,0002D00304000000,2,1837.88
6860591,0002D00313000000,1,83.1
6860592,0002D00349000000,1,648.97
6860593,0002D00372000000,2,3736.7
6860594,0002D00385000000,23,2825.69
6860595,0002D00412000000,10,8187.47
6860596,0002F00150000000,1,67.15
6860597,0002F00151000000,1,151.62
6860598,0002F00175004500,1,321.64
6860599,0002F00175004800,1,14.99
6860600,0002F00175010500,2,595.98
6860601,0002F00175011800,1,1006.71
6860602,0002F00175016300,2,3006.34
6860603,0002F00175020600,2,259.56
6860604,0002F00175071000,1,331.1
6860605,0002F00304000300,1,1566.58
6860606,0002G00010000000,1,92.83
6860607,0002G00030000000,2,1538.2
6860608,0002G00057000000,2,2342.82
6860609,0002G00289000000,1,13.07
6860610,0002G00322000000,1,14.66
6860611,0002G00323000000,1,1.89
6860612,0002H00010000000,1,473
6860613,0002H00011000000,1,1175.4
6860614,0002H00035000A00,2,851.4
6860615,0002H00041000000,2,519.33
6860616,0002H00041000A00,2,274.31
6860617,0002H00077000000,1,3141.7
6860618,0002H00078000000,7,4967.49
6860619,0002H00123000000,3,237.42
6860620,0002H00123000C00,2,244.2
6860621,0002H00123000D00,6,1285.34
6860622,0002H00124000000,1,8.44
6860623,0002H00128000000,27,670.66
6860624,0002H00129000000,26,4029.87
6860625,0002H00147000000,8,363.78
6860626,0002H00150000000,3,9.93
6860627,0002H00253000000,9,2236.32
6860628,0002H00254000000,2,114.41
6860629,0002H00257000000,8,5746
6860630,0002H00258000000,1,61.49
6860631,0002H00259000000,1,104.06
6860632,0002H00261000000,40,14581.23
6860633,0002H00263000000,2,338.9
6860634,0002H00270000000,2,81.4
6860635,0002H00271000000,2,97.68
6860636,0002H00287000000,7,319.31
6860637,0002H00298000000,10,2232.74
